Id,Label
495,Maurice Jarre
496,Shin-ichiro Ikebe
497,Hans Lang
498,Pēteris Vasks
499,Johann Friedrich Fasch
500,Martin Scherber
501,Trisdee na Patalung
502,Hayne van Ghizeghem
503,Jon Gibson
504,Kaspar Förster
505,David Borden
506,Hans Werner Henze
507,Joseph Canteloube
508,Johan Agrell
509,Dmitry Kabalevsky
510,Benjamin Boretz
511,Earl Kim
512,Sulpitia Cesis
513,Cornelis de Bondt
514,John Dunstaple
515,Vincenzo Bellini
516,Stephen Brown
517,Dejan Despić
518,Jun Yamaguchi
519,Alan Shulman
520,Dan Locklair
521,Irving Fine
522,Eugène Ysaÿe
523,Victor Legley
524,Claude Arrieu
525,Todor Skalovski
526,Benedetto Ferrari
527,Agustin Barrios
528,Shigeru Kan-no
529,Paul Constantinescu
530,Huib Emmer
531,Jason Wright Wingate
532,Trebor
533,Stefans Grové
534,Hakon Børresen
535,Quincy Porter
536,Johann Melchior Molter
537,Johann Rosenmüller
538,Martin Matalon
539,Domenico Ferrabosco
540,Alexander Varlamov
541,Jacques Loeillet
542,Manuel Rocha Iturbide
543,Wilhelm Friedemann Bach
544,Dominique Phinot
545,Jindrich Feld
546,Claudio Pari
547,Wallingford Riegger
548,Ljubica Marić
549,Ronald Binge
550,Louis-Nicolas Clérambault
551,Peter Westergaard
552,Václav Tomášek
553,Wilhelm Cramer
554,Jan Nasco
555,Zacara da Teramo
556,Jean Gilbert
557,Tielman Susato
558,Hildegard of Bingen
559,Princess Wilhelmine of Prussia
560,Martijn Padding
561,Marius Constant
562,Arno Babajanian
563,Lalo Schifrin
564,Unico Wilhelm van Wassenaer
565,Allen Toussaint
566,Gaetano Latilla
567,Jean Japart
568,Riccardo Drigo
569,Ian Vine
570,Mathilda d'Orozco
571,Luigi Denza
572,Gui Mallon
573,Louis Spohr
574,Vicente Martín y Soler
575,Carl Czerny
576,Johann Georg Pisendel
577,Claude Champagne
578,Andreas Werckmeister
579,David Matthews
580,Nisar Bazmi
581,Georges Tzipine
582,Nicolas de La Grotte
